datetime,symbol,open,high,low,close,volume
2/15/2023 13:50,OANDA:EURUSD,1.07286,1.07288,1.0726,1.07274,338
2/15/2023 13:55,OANDA:EURUSD,1.07274,1.07276,1.0722,1.07222,355
2/15/2023 14:00,OANDA:EURUSD,1.07222,1.07266,1.07222,1.07252,431
2/15/2023 14:05,OANDA:EURUSD,1.07252,1.07289,1.0725,1.07256,433
2/15/2023 14:10,OANDA:EURUSD,1.07256,1.07261,1.0721,1.07211,368
2/15/2023 14:15,OANDA:EURUSD,1.07211,1.07212,1.07156,1.07193,395
2/15/2023 14:20,OANDA:EURUSD,1.07193,1.07197,1.07176,1.07182,460
2/15/2023 14:25,OANDA:EURUSD,1.07182,1.07188,1.07155,1.07156,324
2/15/2023 14:30,OANDA:EURUSD,1.07156,1.07198,1.07156,1.07198,382
2/15/2023 14:35,OANDA:EURUSD,1.07198,1.07212,1.07182,1.0721,280
2/15/2023 14:40,OANDA:EURUSD,1.0721,1.0721,1.07178,1.07185,316
2/15/2023 14:45,OANDA:EURUSD,1.07185,1.07195,1.0717,1.0718,300
2/15/2023 14:50,OANDA:EURUSD,1.0718,1.07212,1.07178,1.0721,333
2/15/2023 14:55,OANDA:EURUSD,1.0721,1.07212,1.07166,1.07202,348
2/15/2023 15:00,OANDA:EURUSD,1.07202,1.07239,1.07198,1.072,425
2/15/2023 15:05,OANDA:EURUSD,1.072,1.07232,1.07188,1.07216,358
2/15/2023 15:10,OANDA:EURUSD,1.07216,1.07244,1.07205,1.0721,358
2/15/2023 15:15,OANDA:EURUSD,1.0721,1.0721,1.07146,1.07154,327
